user_id,date,description,merchant,category,amount,is_injected_anomaly
synthetic-user-0,2025-01-21,UNKNOWN ELECTRONICS STORE,UNKNOWN ELECTRONICS STORE,Shopping,21279.21,1
synthetic-user-0,2025-01-21,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,510.38,0
synthetic-user-0,2025-01-21,INDIAN OIL PETROL,INDIAN OIL PETROL,Transportation,1081.58,0
synthetic-user-0,2025-01-21,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,385.51,0
synthetic-user-0,2025-01-23,SWIGGY,SWIGGY,Food,377.77,0
synthetic-user-0,2025-01-24,MYNTRA,MYNTRA,Shopping,1472.7,0
synthetic-user-0,2025-01-26,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,660.61,0
synthetic-user-0,2025-01-26,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,508.58,0
synthetic-user-0,2025-01-29,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,500.12,0
synthetic-user-0,2025-01-29,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,514.58,0
synthetic-user-0,2025-01-29,FLIPKART,FLIPKART,Shopping,890.58,0
synthetic-user-0,2025-01-29,BIGBASKET,BIGBASKET,Groceries,1319.59,0
synthetic-user-0,2025-01-31,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,Subscription,722.19,0
synthetic-user-0,2025-02-01,STARBUCKS,STARBUCKS,Food,232.22,0
synthetic-user-0,2025-02-02,AIRTEL POSTPAID,AIRTEL POSTPAID,Utilities,564.14,0
synthetic-user-0,2025-02-04,APOLLO PHARMACY,APOLLO PHARMACY,Healthcare,461.34,0
synthetic-user-0,2025-02-04,ZOMATO,ZOMATO,Food,452.16,0
synthetic-user-0,2025-02-06,STARBUCKS,STARBUCKS,Food,271.78,0
synthetic-user-0,2025-02-08,SALARY CREDIT,SALARY CREDIT,Salary,87633.73,0
